"id","female","anxdep1","anxdep2","anxdep3","anxdep4","lonely1","lonely2","lonely3","lonely4"
417,0,NA,0.86,0.08,NA,1.25,1.28,0.84,1.45
418,0,1.52,2.7,NA,2.36,2.7,3.12,NA,NA
419,0,0.62,1.1,NA,NA,3.02,3.12,NA,NA
420,0,1,1.97,1.75,NA,NA,2.27,2.24,NA
421,0,2.08,1.19,NA,1.58,1.65,0.97,1.55,NA
422,0,1.94,NA,NA,2.2,1.44,1.97,2.33,NA
423,0,1.47,1.16,NA,NA,3.14,3.3,3.01,2.16
424,0,1.33,NA,NA,NA,1.45,1.17,0.67,0.97
425,0,2.66,2.44,NA,2.17,NA,2.51,2.97,NA
426,0,NA,NA,2.11,NA,NA,2.78,2.26,NA
427,0,1.32,1.01,NA,1.86,NA,1.92,NA,NA
428,0,0.84,1.24,1.24,NA,1.92,2.29,NA,NA
429,0,NA,NA,1.26,1.86,1.18,2.36,2.38,1.53
430,0,1.76,1.47,NA,1.55,2.02,NA,1.25,NA
431,0,2.47,1.01,NA,NA,NA,NA,NA,2.84
432,0,0.93,1.4,1.28,1.82,NA,NA,NA,1.13
433,0,1.21,1.55,1.29,1.85,NA,2.11,2.5,NA
434,0,1.62,NA,NA,1.99,2.94,NA,3.09,NA
435,0,1.59,0.62,NA,1.67,2.46,1.83,NA,2.31
436,0,1.67,1.75,1.83,2.17,2.26,2.45,2.67,2.76
437,0,NA,1.72,3.24,NA,1.99,3.1,NA,3.59
438,0,1.67,NA,1.54,1.59,0.75,1.08,1.75,NA
439,0,1.45,NA,NA,1.58,0.92,2.06,2.18,NA
440,0,NA,NA,1.36,1.64,2.12,1.99,NA,2.63
441,0,0.45,NA,1.7,1.54,0.91,1.49,1.15,NA
442,0,0.99,NA,0.89,1.84,1.99,3.01,1.74,1.68
443,0,0.79,1.14,NA,1.4,1.3,1.41,0.06,0.36
444,0,1,1.86,1.76,1.88,2.75,NA,3.46,2.49
445,0,0.4,0.72,NA,1.85,1.35,1.28,1.22,2.12
446,0,1.89,2.02,NA,1.86,3.13,2.95,NA,NA
447,0,1.32,1.33,0.2,NA,2.25,NA,1.81,2.91
448,0,NA,1.61,2.16,2.11,2.32,2.9,NA,2.64
449,0,NA,1.52,2.05,1.73,1.91,NA,NA,NA
450,0,NA,1.7,0.72,1.75,1.48,1.4,1.73,NA
451,0,0.07,NA,0.35,1.32,0.74,1.6,NA,0.6
452,0,NA,1.17,NA,1.97,NA,1.08,2.04,NA
453,0,1.01,NA,1.39,2.08,2.15,2.77,NA,2.48
454,0,NA,NA,2.12,NA,NA,3.45,NA,4.04
455,0,3.04,2.37,NA,2.4,3.2,NA,NA,3.72
456,0,1.69,2.07,NA,NA,1.49,2.11,NA,1.1
457,0,2.22,0.48,1.85,1.71,2.9,2.34,2.55,2.66
458,0,1.17,0.96,0.6,NA,1.43,1.71,NA,NA
459,0,2.03,2.56,2.13,1.95,NA,2.93,2.22,2.53
460,0,1.7,NA,2.34,2.1,1.95,1.44,2.28,2.57
461,0,1.51,NA,1.39,1.75,1.86,2.53,2.82,NA
462,0,NA,NA,1.48,NA,1.54,1.5,NA,1.56
463,0,0.76,1.31,NA,1.72,NA,1.06,0.29,0.91
464,0,1.75,1.38,1.7,1.47,2.17,NA,2.19,2.7
465,0,2.17,NA,3.01,2.14,NA,2.35,2.5,NA
466,0,1.55,1.34,1.57,NA,NA,2.44,NA,3.59
467,0,NA,1.2,1.43,1.56,3.23,2.3,2.78,2.06
468,0,NA,0.61,NA,1.11,2.07,1.66,1.82,1.56
469,0,1.51,NA,1.27,NA,2.16,1.89,1.24,2.33
470,0,NA,2.44,NA,1.81,2.27,2.74,2.12,1.67
471,0,1.34,1.72,1.12,1.35,3.08,2.63,2.59,NA
472,0,NA,0.6,NA,1.96,1.38,1.82,2.39,1.56
473,0,NA,NA,2.2,NA,NA,2.14,NA,2.84
474,0,NA,NA,0.27,1.46,1.91,2.05,NA,NA
475,0,1.42,2.83,NA,2.06,2.44,2.33,1.72,1.88
476,0,1.01,NA,0.88,NA,1.97,NA,1,2.02
477,0,0.59,0.63,0.7,1.9,1.72,NA,1.53,1.95
478,0,NA,3.02,3.86,2.37,1.61,2.21,NA,2.76
479,0,NA,1.65,NA,1.89,1.91,1.33,2.21,2.51
480,0,NA,1.18,1.37,2.22,1.7,1.84,1.42,NA
481,0,1.23,2.44,NA,NA,1.59,2.91,2.54,3.17
482,0,NA,2.76,2.99,1.78,2.36,1.95,NA,1.47
483,0,1.22,0.71,1.15,NA,NA,NA,NA,1.83
484,0,NA,1.37,NA,NA,NA,1.92,1.02,1.08
485,0,2.28,1.69,1.96,2.04,NA,3.25,2.04,NA
486,0,1.82,1.75,NA,2.12,NA,2.31,NA,2.87
487,0,NA,1.61,NA,NA,1.83,2.35,2,2.74
488,0,1.14,0.68,2.3,1.89,2.11,1.55,2.25,2.48
489,0,2.28,NA,NA,1.92,2.49,2.55,1.69,NA
490,0,1.17,0.97,2.36,2.16,1.8,1.76,NA,2.42
491,0,1.09,1.02,NA,1.68,3.1,2.15,1.61,2.62
492,0,1.89,1.77,1.52,1.86,2.36,1.81,2.6,2.62
493,0,NA,NA,0.79,1.65,1.63,1.42,NA,1.32
494,0,1.36,1.29,NA,NA,2.32,1.69,NA,2.6
495,0,1.01,1.85,NA,1.59,1.42,1.74,NA,NA
496,0,1.58,NA,3.03,2.41,NA,3.15,NA,3.92
497,0,0.5,0.62,1.16,1.75,NA,1.96,1.59,3.7
498,0,1.79,NA,2.26,1.85,NA,NA,2.62,NA
499,0,1.39,0.38,NA,1.67,2.71,2.13,NA,1.57
500,0,NA,1.08,1.82,1.9,NA,NA,1.59,1.55
501,0,0.95,1.12,NA,2.09,2.34,2.46,NA,NA
502,0,1.99,1.44,NA,2.18,NA,1.05,1.06,NA
503,0,NA,0.61,NA,NA,NA,1.35,1.26,2.51
504,0,NA,NA,1.55,NA,2.07,2.22,2.14,3.13
505,0,NA,1.63,1.82,NA,3.11,2.24,NA,1.66
506,0,NA,2.34,1.62,NA,2.96,2.41,2.18,1.71
507,0,1.76,2.12,2.44,2.01,2.45,2.88,NA,NA
508,0,1.61,1.81,1.99,2.03,NA,2.62,NA,2.83
509,0,1.66,2.13,2.14,2.27,NA,2.53,2.9,NA
510,0,1.44,1.76,1.51,1.74,2.46,1.64,1.94,NA
511,0,0.53,2.05,2.22,NA,1.74,2.87,2.8,2.94
512,0,2.84,2.07,2.98,2.04,NA,2.69,NA,2.36
513,0,1.55,1.02,1.65,1.89,NA,NA,2.08,1.66
514,0,1.35,1.45,1.67,2.49,2.94,2.92,2.33,3.83
515,0,NA,1.45,NA,1.98,1.27,2.14,1.83,2.62
516,0,1.9,1.79,NA,NA,2.01,1.54,1.55,1.52
517,0,1.55,1.65,NA,2.18,2,NA,3.38,NA
518,0,NA,2.32,1.24,NA,2.99,NA,2.9,3.07
519,0,0.13,1.12,1.2,NA,0.78,1.54,1.98,1.47
520,0,NA,NA,NA,2.14,3.32,3.15,4.14,4.45
521,0,NA,NA,2.22,1.85,NA,3.5,2.71,NA
522,0,1.35,1.02,2.02,1.58,2.23,1.42,NA,1.66
523,0,1.51,2.03,1.98,2.17,3.08,3.49,3.31,NA
524,0,2.45,1.21,NA,1.89,1.75,2.41,2.75,2.41
525,0,1.35,1.36,NA,NA,1.46,1.96,NA,2.46
526,0,0.88,1.02,1.66,NA,1.66,2.13,1.42,1.76
527,0,1.24,0.25,NA,NA,NA,1.24,NA,0.32
528,0,2.19,NA,2.28,2.39,NA,2.93,2.88,3.58
529,0,1.96,1.65,2.02,1.74,2.48,1.95,2.18,2.1
530,0,NA,NA,0.86,1.42,1.58,1.69,1.39,0.6
531,0,1.04,0.32,0.95,1.29,2.22,NA,2.01,NA
532,0,NA,2.17,NA,2.02,NA,NA,3.69,NA
533,0,1.7,NA,0.98,1.53,NA,1.26,1.99,NA
534,0,NA,0.87,NA,NA,NA,1.18,1.31,1.14
535,0,NA,0.97,1.36,1.84,2.46,NA,NA,NA
536,0,1.29,2.23,NA,1.92,2.01,3.03,1.62,2.86
537,0,NA,1.15,1.3,2.01,2.32,NA,NA,2.86
538,0,1.97,2,NA,NA,3.4,3.15,NA,3.57
539,0,NA,1.42,1.15,NA,NA,0.92,2.3,NA
540,0,1.22,NA,1.14,1.46,NA,1.89,1.33,2.06
541,0,1.64,1.8,NA,NA,1.55,1.07,1.88,2.4
542,0,2.45,1.97,2.41,2.12,NA,NA,NA,2.53
543,0,0.95,1.5,NA,NA,1.62,2.45,2.29,1.75
544,0,1.39,1.38,1.24,1.75,1.74,2.06,1.28,2.05
545,0,2.38,1.79,NA,1.78,3.09,2.67,NA,NA
546,0,1.7,2.56,2.81,NA,NA,2.99,2.49,1.61
547,0,1.55,2.15,NA,1.95,3.1,2.48,NA,3.7
548,0,2.25,2.11,NA,1.94,3.34,1.84,NA,1.61
549,0,2.44,1.43,NA,1.94,2.75,1.06,0.38,1.63
550,0,NA,1.75,1.31,1.57,NA,2.58,1.85,2.29
551,0,2.51,NA,3.36,2.11,2.24,3,NA,1.76
552,0,1.54,2.25,NA,2.39,NA,2.29,NA,NA
553,0,1.09,1.77,NA,1.86,1.48,1.6,NA,NA
554,0,NA,2.16,NA,2.06,2.05,2.26,2.59,2.7
555,0,NA,NA,1.65,NA,3.03,NA,1.61,2.09
556,0,0.84,1.38,1.83,1.64,1.7,NA,NA,NA
557,0,NA,1.01,1.3,NA,NA,1,1.74,1.17
558,0,2.31,2.1,2.6,2.29,2.22,2.04,NA,2.61
559,0,NA,NA,NA,2.18,2.53,NA,NA,NA
560,0,NA,1.73,NA,1.89,0.72,1.68,1.21,1.89
561,0,1.6,NA,NA,NA,1.16,0.67,1.55,1.38
562,0,1.81,1.69,NA,1.77,1.36,NA,0.78,0.71
563,0,2.03,1.71,2.67,1.81,1.21,1.38,NA,1.1
564,0,1.12,2.1,1.65,1.45,1.86,2.38,NA,NA
565,0,2.89,2.07,2.27,1.87,NA,3.07,2.33,NA
566,0,1.59,2.53,NA,2.14,2.68,2.39,2.47,3.1
567,0,0.48,1.39,NA,NA,1.83,1.84,NA,1.3
568,0,1.57,NA,NA,1.72,NA,NA,1.69,NA
569,0,NA,NA,NA,NA,NA,1.73,NA,2.12
570,0,1.42,0.97,NA,1.78,3.47,NA,3.19,3.32
571,0,2.6,NA,3,2.28,NA,2.77,2.93,2.41
572,0,1.43,0.7,1.33,NA,NA,1.44,NA,NA
573,0,1.26,1.17,1.54,NA,1.51,1.41,2.56,NA
574,0,2.25,2.13,NA,NA,1.44,1.71,2.25,NA
575,0,1.9,1.23,NA,NA,2.52,NA,2.03,1.74
576,0,NA,2.2,2.2,1.83,2.75,2.62,2.45,NA
577,0,1.39,NA,0.49,1.52,NA,1.79,2.57,NA
578,0,1.59,NA,0.74,1.61,3.1,2.31,NA,3.08
579,0,1.51,NA,1.65,1.65,0.96,NA,0.61,1.36
580,0,NA,0.54,0.49,1.79,2.16,1.92,1.34,1.68
581,0,0.83,1.57,NA,NA,2.18,1.96,NA,1.99
582,0,NA,2.06,2.53,NA,3.01,2.88,NA,NA
583,0,1.25,1.7,1.54,2.03,NA,1.81,NA,2.08
584,0,1.67,NA,NA,NA,3.05,2.46,1.68,3.19
585,0,2.3,1.84,NA,2.07,NA,2.62,1.52,NA
586,0,NA,0.93,NA,1.89,1.48,1.23,NA,NA
587,0,0.52,0.97,1.2,NA,2.07,2.43,1.92,NA
588,0,NA,1.98,NA,NA,2.64,2.43,NA,NA
589,0,2.05,1.8,2.24,2.11,2.49,2.97,NA,2.86
590,0,2.16,1.57,NA,1.47,2.31,1.05,2.12,1.21
591,0,0.9,0.92,NA,1.41,0.79,NA,1.2,1.2
592,0,NA,0.74,NA,1.59,0.72,NA,NA,1.06
593,1,1.57,0.82,1.57,NA,1.85,NA,0.73,2.49
594,1,NA,1.97,2.24,2.61,2.13,1.89,NA,NA
595,1,2.05,NA,0.7,NA,NA,3.17,NA,4.19
596,1,1,1.17,1,1.8,2.82,NA,NA,1.29
597,1,1.99,2.57,NA,NA,NA,NA,NA,2.71
598,1,0.77,2.86,NA,2.39,1.95,3.56,2.23,2.71
599,1,NA,2.03,0.14,NA,3.14,2.09,1.39,NA
600,1,2.27,1.33,4,3.27,3.07,2.43,1.52,NA
601,1,NA,NA,NA,3.58,2.54,2.02,2.47,2.9
602,1,2.83,NA,NA,NA,2.69,1.64,2.66,1.02
603,1,1.64,3.01,NA,NA,1.45,2.44,NA,2.4
604,1,NA,NA,NA,NA,NA,1.95,1.97,1.82
605,1,1.39,2.2,NA,2.85,2.74,NA,2.28,2.57
606,1,2.87,2.08,2.23,0.82,1.4,NA,1.23,NA
607,1,NA,2.86,2.55,1.85,2.96,2.57,NA,NA
608,1,NA,3.11,NA,2.8,2.93,1.81,NA,NA
609,1,1.91,1.58,NA,1.79,NA,1.92,1.9,2.03
610,1,NA,1.39,NA,NA,NA,1.62,1.55,2.74
611,1,1.85,0.93,NA,1.81,2.33,2.61,1.45,NA
612,1,NA,NA,1.05,NA,1.33,3.14,2.37,2.15
613,1,2.79,3.08,0.36,NA,1.91,2.88,1.73,NA
614,1,1.32,2.43,1.21,2.34,NA,NA,3.06,NA
615,1,3.02,2.87,1.76,NA,1.74,2.98,1.71,2.11
616,1,1.12,2.77,NA,NA,1.02,1.84,NA,NA
617,1,3.16,2.34,1.84,NA,2.54,2.46,2.58,2.38
618,1,2.3,2.07,NA,1.06,3.17,NA,3.03,NA
619,1,2.99,NA,1.8,2.21,2.25,2.87,3.61,3.05
620,1,NA,2.1,0.74,2.7,2.73,NA,1.91,NA
621,1,NA,NA,1.24,NA,2.12,2.66,2.79,3.05
622,1,1.9,1.19,2.44,NA,NA,2.16,2.24,2.64
623,1,1.02,2.27,3.23,0.96,1.73,3.03,4.46,NA
624,1,2.6,NA,1.48,2.31,NA,NA,3.6,1.01
625,1,3.14,1.24,NA,1.31,NA,2.02,NA,NA
626,1,1.36,2.45,1.46,NA,1.79,2.99,NA,1.96
627,1,2.6,3.64,NA,2.69,2.9,2.09,NA,NA
628,1,1.84,NA,NA,NA,NA,2.55,2.24,1.15
629,1,NA,1.6,NA,3,2.91,NA,2.15,NA
630,1,1.75,1.45,1.86,2.45,2.36,2.45,4.18,0.71
631,1,NA,NA,NA,2.49,1.55,0.91,NA,NA
632,1,0.59,NA,3.29,2.08,3.08,2.25,NA,NA
633,1,1.94,NA,1.78,1.22,2.33,3.93,2.69,2.54
634,1,NA,1.71,2.96,1.98,2.1,NA,1.94,NA
635,1,2.76,NA,NA,NA,2.23,2.24,NA,NA
636,1,1.43,2.11,1.19,NA,3.28,3.22,3.06,3.03
637,1,2.7,3.31,1.28,4,2.46,4.39,NA,3.2
638,1,1.44,2.62,2.13,2.21,4.43,2.63,NA,NA
639,1,0.54,1.48,0.93,2.83,2.25,1.45,3.57,NA
640,1,NA,2.69,1.29,1.98,2.57,NA,NA,3.44
641,1,2.88,2.21,1.07,3.18,3.33,2.58,2,2.86
642,1,2.37,1.52,1.71,2.46,2.99,4.09,1.52,NA
643,1,3.06,2.26,2.71,1.57,1.96,2.58,NA,NA
644,1,1.01,NA,2.33,1.21,3.55,2.47,NA,NA
645,1,1.85,1.94,NA,2.75,NA,2.44,NA,NA
646,1,NA,2.52,2,2.71,0.93,1.58,2.45,NA
647,1,NA,NA,2.27,2.29,NA,2.33,NA,2.52
648,1,1.16,1.69,1.66,3.21,1.82,2.04,0.96,2.41
649,1,1.51,2.89,3,1.97,1.05,2.05,NA,1.63
650,1,1.48,2.55,NA,1.25,1.79,0.57,2.99,2.88
651,1,NA,2.19,NA,0.63,NA,3.28,NA,1.87
652,1,NA,2.09,2.15,2.62,3.19,3.2,NA,1.5
653,1,NA,1.21,3.04,0.95,1.44,2.48,NA,2.68
654,1,2.54,1.9,1.64,0.89,2.18,3.37,2.52,NA
655,1,NA,NA,NA,2.42,1.45,NA,NA,NA
656,1,2.96,1.62,3.1,NA,NA,NA,3.06,1.18
657,1,0.84,2.6,NA,3.97,2.86,NA,3.24,NA
658,1,NA,2.28,NA,3.5,NA,3.48,3.31,3.27
659,1,0.83,2.67,0.74,NA,2.59,1.75,3.49,2.64
660,1,NA,2.62,2.56,3.28,2.97,NA,2.14,1.65
661,1,NA,1.84,NA,2.91,1.07,2.73,1.74,NA
662,1,NA,0.86,1.45,0.96,3.11,1.65,NA,2.79
663,1,2.92,3.53,NA,NA,NA,3.18,2.79,2.73
664,1,3.71,3.16,1.73,NA,1.35,2.14,2.12,NA
665,1,NA,NA,NA,3.07,2.54,3.87,1.65,2.83
666,1,1.66,0.73,0.79,NA,2.59,2.61,NA,NA
667,1,1.97,1.45,1.56,2.54,3.51,2.38,4.11,1.62
668,1,2.27,2.32,NA,2.97,1.23,NA,2.4,NA
669,1,1.38,0,3.06,NA,3.04,NA,NA,2.64
670,1,3.19,1.76,NA,2.25,2.34,2.11,2.95,3.37
671,1,1.39,2.39,2.25,1.36,NA,2.65,NA,1.95
672,1,1.83,1.97,2.67,NA,3.29,2.08,NA,1.75
673,1,1.77,NA,3.65,1.38,3.03,3.25,NA,1.79
674,1,1.71,2.69,NA,1.39,3.12,2.42,NA,3.05
675,1,1.87,2.29,NA,NA,1.65,2.17,3.2,NA
676,1,NA,NA,NA,1.87,2.82,1.34,2.43,2.48
677,1,2.49,1.48,1.75,NA,NA,NA,3.18,1.94
678,1,NA,2.09,1.17,1.96,3.53,3.4,2.38,NA
679,1,2.62,1.27,NA,1.49,2.15,2.3,1.77,2.77
680,1,1.19,NA,1.55,NA,2.41,NA,2.18,1.55
681,1,1.43,NA,1.58,2.72,1.88,2.97,3,3.52
682,1,4,2.36,2.71,3.08,3.34,NA,NA,2.45
683,1,2.75,3.27,1.95,NA,0.66,1.56,3.85,NA
684,1,2.88,1.73,NA,2.23,NA,NA,3.18,1.62
685,1,1.86,2.02,3.03,1.88,2.64,2.37,2.18,NA
686,1,0.8,NA,1.94,NA,1.41,2.67,1.72,NA
687,1,2.37,NA,1.57,0.25,3.02,NA,2.77,2.91
688,1,NA,2.35,2.4,2.4,NA,2.28,2.15,2.01
689,1,NA,NA,1.48,NA,1.09,1.75,2.72,3.03
690,1,2.58,NA,2.68,3.81,1.7,NA,3.82,NA
691,1,2.07,2.24,NA,1.12,NA,2.36,1.33,1.58
692,1,2.15,NA,1.81,NA,1.34,2.05,NA,NA
693,1,0.68,NA,3.76,1.66,3.54,2.77,3.97,NA
694,1,NA,3.27,2.37,NA,NA,1.27,NA,3.81
695,1,NA,3.38,2.26,NA,2.63,2.89,NA,2.31
696,1,2.47,0.78,NA,3.79,NA,NA,1.17,NA
697,1,NA,1.61,2.19,2.9,NA,2.86,2.08,NA
698,1,NA,NA,1.47,NA,1.49,1.32,2.33,3.48
699,1,1.29,NA,3.51,2.03,2.94,2.94,NA,NA
700,1,1.47,2.55,3.23,3.01,2.53,0.96,2.85,1.55
701,1,1.14,1.56,1.66,NA,1.76,3.93,3.05,NA
702,1,1.26,NA,2.08,4,1.3,NA,2.04,4.39
703,1,NA,2.18,2.38,3.26,NA,3.19,3.73,2.55
704,1,2.61,1.69,0.78,2.39,1.92,3.04,3.05,NA
705,1,1,2.58,1.61,NA,2.2,NA,NA,3.05
706,1,3.01,1.1,NA,2.04,2.63,3.87,1.92,NA
707,1,NA,3.26,NA,2.83,1.78,NA,NA,2.58
708,1,3.16,2.84,NA,2.03,1.15,2.52,NA,2.88
709,1,1.89,2.31,NA,2.26,NA,NA,1.71,2.4
710,1,NA,1.63,2.8,2.62,NA,NA,2.18,NA
711,1,NA,NA,2.83,1.03,2.63,3.11,2.75,2.24
712,1,3.7,2.01,NA,3.87,2.75,NA,2.18,1.62
713,1,2.99,1.72,2.74,NA,NA,NA,2.12,NA
714,1,2,NA,0.35,1.44,NA,3.31,3.28,NA
715,1,2.15,1.05,2.6,NA,1.68,2.22,2.76,2.33
716,1,1.78,2.13,NA,NA,1.62,1.77,2.18,2.83
717,1,1.94,1.37,2.44,2.86,NA,NA,3.57,1.49
718,1,NA,1.55,1.32,NA,3.63,2.14,1,1.61
719,1,1.41,NA,1.76,NA,3.08,3.15,1.95,NA
720,1,2.93,2.44,2.22,NA,1.83,NA,NA,NA
721,1,1.87,3.41,4,2.38,2.32,0.83,2.91,1.52
722,1,1.92,2.52,1.2,3.71,2.55,3.44,NA,1.76
723,1,3.56,2.27,NA,3.6,2.22,NA,2.89,1.38
724,1,1.89,1.56,3.58,2,2.68,2.3,NA,NA
725,1,2.4,1.79,NA,1.56,1.85,3.03,NA,2.36
726,1,1.71,1.32,NA,NA,NA,3.57,2.24,3.14
727,1,0.56,2.78,3.28,1.98,NA,2.39,2.3,2.68
728,1,NA,2.78,1.86,NA,0.85,2.64,2.91,2.08
729,1,NA,NA,2.23,2.39,3.6,4.09,NA,3.06
730,1,3.09,1.91,NA,2.89,NA,4.03,2.6,NA
731,1,2.6,2.54,NA,NA,NA,2.58,3.96,2.07
732,1,NA,2.51,NA,NA,2.27,3.43,NA,2.4
733,1,1.26,3,NA,0.83,NA,3.35,NA,2.32
734,1,2.3,2.39,2.86,2.86,NA,3.06,NA,3.42
735,1,2.2,2.01,1.28,NA,2.31,2.54,2.76,NA
736,1,2.62,3.15,2.03,2.68,2.54,1.78,2.45,2.23
737,1,NA,2.09,NA,NA,NA,3.52,0.55,2.2
738,1,1.93,1.3,2.91,NA,1.34,1.69,NA,1.47
739,1,2.32,1.06,1.82,NA,4.16,NA,3.07,3.76
740,1,2.33,1.49,1.96,1.82,1.42,0.97,2.47,2.09
741,1,NA,1.13,2.75,NA,NA,2.28,2.16,2.59
742,1,1.08,2.56,1.4,3.02,3.18,2.03,3.05,2.41
743,1,0.37,NA,NA,1.41,3.28,2.18,3.74,1.99
744,1,1.85,NA,1.82,NA,NA,NA,NA,NA
745,1,1.03,1.41,NA,2.51,0.87,2.18,2.03,3.42
746,1,2.84,2.46,1.46,NA,NA,3.12,NA,2.5
747,1,1.13,2.53,1.7,NA,1.73,NA,NA,2.3
748,1,1.71,2.08,NA,1.77,1.81,2.45,NA,1.53
749,1,2.03,1.83,NA,NA,NA,2.43,1.6,NA
750,1,NA,NA,NA,1.99,2.4,1.89,NA,2.2
751,1,NA,2,1.36,NA,1.98,2.46,1.98,2.69
752,1,3.5,2.11,3.22,2.18,1.96,1.07,NA,3.76
753,1,3.79,NA,1.94,NA,2.88,2.38,2.09,1.33
754,1,2.77,NA,NA,2.3,3.1,2.23,NA,NA
755,1,1.58,1.69,0.71,3.35,1.36,1.48,NA,1.93
756,1,2.7,2.24,2.72,1.79,NA,3.07,1.69,NA
757,1,2.23,1.09,NA,NA,1.84,1.49,NA,NA
758,1,1.93,1.43,NA,NA,2.18,NA,NA,NA
759,1,2.83,NA,NA,NA,NA,2.54,NA,NA
760,1,1.93,NA,NA,NA,NA,NA,NA,1.09
761,1,2.85,1.36,2.23,4,3.63,4.9,2.05,2.62
762,1,NA,NA,NA,2.56,3.52,2.99,3.41,2.27
763,1,NA,NA,0.71,NA,0.53,2.99,NA,NA
764,1,NA,1.14,2.5,1.89,1.91,1.92,2.48,2.85
765,1,1.24,1.05,3.53,1.16,NA,1.94,2.57,2.2
766,1,2.36,2.29,1.32,2.54,1.94,2.76,1.95,2.44
767,1,NA,1.85,1.66,2.43,2.11,NA,1.85,3.58
768,1,2.99,2.28,1.69,NA,2.32,2.18,3.02,2.98
769,1,NA,2.77,2.19,1.9,3.51,NA,NA,NA
770,1,1.63,2.19,NA,2.8,1.54,NA,NA,3.32
771,1,NA,0,NA,3.55,1.89,3.27,2.89,3.07
772,1,NA,0.98,1.11,3.07,2.57,3.71,NA,1.56
773,1,2.49,1.21,NA,2.14,2.91,1.68,2.55,3.03
774,1,NA,3.37,2.22,2.05,2.37,NA,2.73,3.68
775,1,3.21,NA,NA,1.98,2.32,2.56,NA,2.13
776,1,NA,2.98,NA,NA,1.61,NA,2.54,NA
777,1,NA,2.68,NA,3.11,3.18,NA,1.55,NA
778,1,2.03,1.23,NA,NA,1.74,2.77,NA,NA
779,1,1.98,0.22,NA,NA,NA,2.51,1.66,3.26
780,1,NA,NA,2.33,NA,NA,1.65,2.35,NA
781,1,2.51,1.65,NA,NA,3.58,1.25,2.21,2.11
782,1,1.15,NA,2,NA,1.41,2.37,1.69,1.13
783,1,1.95,1.83,3.15,1.63,1.83,2.98,1.31,3.28
784,1,NA,NA,3.09,NA,NA,2.7,2.24,1.48
785,1,1.14,2.81,3.07,NA,1.36,2.27,2.01,NA
786,1,NA,2.95,3.27,2.63,1.38,2.92,2.06,NA
787,1,1.88,0.82,NA,2.68,NA,1.41,0.34,1.74
788,1,1.52,NA,1.61,0.79,1.88,2.71,2.5,3.4
789,1,2.55,2.94,2.07,2.43,3.2,2.66,NA,2.79
790,1,0.75,2.13,1.17,2.8,1.08,1.64,2.6,NA
791,1,1.42,1.58,1.65,2.1,2.57,2.33,2.24,2.01
792,1,2.52,NA,NA,NA,NA,2.04,NA,NA
793,1,1.83,3.05,2.19,3.54,1.21,0.95,3.47,3.07
794,1,1.36,NA,NA,NA,2.32,3.87,NA,1.96
795,1,1.64,NA,2.63,2.2,0.48,NA,NA,1.73
796,1,1.21,1.98,NA,4,1.72,NA,2.74,3.11
797,1,2.28,NA,NA,NA,0.85,NA,2.43,1.98
798,1,2.52,2.4,2.34,NA,2.46,3.18,1.53,3.15
799,1,2.21,2.03,NA,4,1.95,2,1.62,NA
800,1,2.8,2.37,1.19,0.61,2.02,NA,NA,NA
801,1,2.35,2.97,NA,2.68,1.97,1.45,3.1,2.97
802,1,NA,1.68,NA,1.96,NA,3.64,2.24,0.63
803,1,2.27,2.68,NA,NA,2.6,2.44,NA,3.25
804,1,1.97,0.92,2.18,2.12,0.87,3.89,2.21,NA
805,1,NA,1.17,NA,2.36,2.03,NA,1.6,2.94
806,1,1.52,1.78,NA,1.87,1.14,3.15,1.68,2.48
807,1,2.55,2.05,1.68,3.47,2,2.06,NA,1.91
808,1,2.96,1.5,NA,3.1,2.72,NA,3.14,NA
809,1,2.25,NA,1.31,2.72,2.96,2.63,NA,NA
810,1,1.88,2.45,NA,1.85,3.27,1.96,2.7,NA
811,1,2.17,0.88,2.85,0,2.22,NA,1.19,2.43
812,1,1.93,2.24,1.5,1.41,1.63,1.7,NA,1.59
813,1,1.29,NA,1.64,NA,2.3,1.3,NA,1.98
814,1,2.86,0.81,2.38,2.99,2.07,1.56,2.93,NA
815,1,1.75,NA,NA,1.85,NA,2.52,2.42,4.42
816,1,2.01,NA,NA,3.14,NA,1.95,NA,3.01
817,1,1.93,2.64,3.28,2.37,1.66,NA,NA,2.43
818,1,2.43,NA,2.31,1.91,1.86,1.81,2.92,NA
819,1,2.31,2.94,3.17,2.87,2.11,2.42,2.37,NA
820,1,1.73,1.5,NA,0.98,0.06,NA,3.5,2.35
821,1,2.2,1.06,NA,1.15,2.06,2.96,2.73,3.41
822,1,NA,1.59,NA,NA,NA,NA,NA,2.22
823,1,NA,3.2,NA,3,2.89,2.34,NA,3.15
824,1,1.82,2.64,2.95,2.08,1.97,1.7,2.66,4.38
825,1,NA,3.2,1.69,0.44,NA,2.46,3.41,3.09
826,1,1.38,1.99,1.61,1.47,NA,1.34,1.49,4.22
827,1,2.44,1.44,NA,NA,NA,1.64,NA,NA
828,1,2.6,1.87,NA,NA,NA,NA,4.01,2.33
829,1,NA,NA,2.36,3.66,2.47,2.95,NA,NA
830,1,1.59,1.81,1.92,3.07,3.08,2.06,2.64,3.93
831,1,3.53,4,2.23,NA,2.03,1.85,2.92,2.48
832,1,1.41,2.27,1.29,2.34,2.42,3.49,NA,2.62
833,1,3.35,1.8,2.13,1.63,2.52,1.52,NA,2.07
