consci1,consci2,consci3,consci4,consci5,consci6,emostab1,emostab2,emostab3,emostab4,emostab5,emostab6,orgcon1,orgcon2,orgcon3,orgcon4,orgcon5,orgcon6,workbeh1,workbeh2,workbeh3,workbeh4,workbeh5,workbeh6,consci,emostab,orgcon,workbeh
5,5,5,5,5,5,4,3,4,4,4,4,3,1,2,3,4,3,1,1,1,1,1,1,30,23,16,6
5,4,4,4,4,4,4,3,5,4,4,5,2,4,4,5,2,2,3,2,1,3,3,4,25,25,19,16
4,3,5,4,5,5,5,5,4,4,5,4,5,5,5,5,5,5,2,1,1,2,2,2,26,27,30,10
3,5,5,5,4,4,5,4,5,3,4,4,1,4,1,2,2,2,1,1,1,1,1,1,26,25,12,6
5,4,4,5,5,3,5,5,4,4,4,3,5,3,1,3,1,2,1,2,5,2,2,1,26,25,15,13
5,4,5,4,5,4,4,4,5,3,5,4,5,3,5,3,2,4,2,2,1,3,2,1,27,25,22,11
5,5,2,5,5,5,4,1,2,1,1,1,1,3,2,2,1,1,1,1,2,1,1,2,27,10,10,8
2,1,1,2,5,2,1,3,4,3,1,4,4,3,4,4,3,2,2,4,3,2,3,2,13,16,20,16
5,5,5,3,4,5,3,4,5,3,2,3,4,3,2,3,5,3,2,2,1,1,1,1,27,20,20,8
5,4,5,5,5,5,3,3,2,1,3,4,4,2,2,2,2,2,2,1,1,1,1,1,29,16,14,7
5,5,4,4,5,5,3,2,4,3,4,4,2,1,2,1,2,1,1,1,1,1,1,1,28,20,9,6
3,1,5,4,3,3,2,4,2,1,4,2,2,5,3,5,1,5,4,2,1,2,3,2,19,15,21,14
3,3,4,4,4,3,2,2,4,4,4,3,3,3,5,1,2,5,2,2,1,2,1,2,21,19,19,10
4,4,5,3,4,4,3,2,2,4,4,4,4,5,5,4,5,4,2,3,1,4,2,3,24,19,27,15
2,5,4,4,4,3,3,2,4,4,5,5,2,1,1,1,1,1,1,1,1,1,1,1,22,23,7,6
5,5,5,5,5,5,4,5,4,4,3,1,2,3,2,1,2,3,2,1,1,1,3,1,30,21,13,9
4,5,5,5,5,5,4,3,5,2,4,4,1,1,3,4,4,1,1,1,1,1,1,1,29,22,14,6
4,4,3,5,4,5,4,3,2,1,2,1,5,5,5,5,5,5,1,1,1,2,1,1,25,13,30,7
4,5,5,5,4,4,3,4,2,1,4,3,3,1,1,2,3,2,3,1,2,1,1,1,27,17,12,9
4,5,5,4,4,3,5,1,3,4,5,3,2,2,5,4,4,3,2,2,2,3,2,1,25,21,20,12
5,5,5,5,5,5,3,4,3,4,5,4,2,4,3,2,2,2,1,1,1,1,1,1,30,23,15,6
3,2,3,2,4,2,4,2,1,3,1,1,5,5,5,5,4,5,3,3,5,2,2,5,16,12,29,20
4,3,3,4,5,4,1,1,1,2,3,1,5,4,5,5,5,5,2,2,1,1,1,1,23,9,29,8
4,3,4,5,4,5,3,4,5,5,5,3,2,2,1,2,1,2,1,1,2,1,1,1,25,25,10,7
5,5,3,5,4,5,3,3,1,3,1,2,4,1,4,5,5,4,2,2,1,2,2,2,27,13,23,11
5,3,4,4,4,5,5,5,4,4,4,5,3,2,3,3,5,5,3,2,3,2,3,2,25,27,21,15
4,3,4,2,3,2,4,4,5,4,5,4,3,2,2,2,2,3,1,1,1,2,1,1,18,26,14,7
3,5,4,3,3,5,4,4,5,5,5,4,2,2,2,1,2,2,2,2,2,2,2,1,23,27,11,11
3,4,2,3,3,1,4,5,4,4,3,4,3,4,5,3,2,2,2,2,1,1,1,3,16,24,19,10
4,5,5,4,5,5,4,4,4,1,3,3,1,1,2,2,2,2,2,2,3,2,2,1,28,19,10,12
4,5,5,4,5,5,4,2,3,2,4,1,2,4,4,3,2,2,1,1,2,1,2,1,28,16,17,8
4,5,5,4,3,5,1,1,1,2,2,1,5,4,3,3,5,5,2,3,2,2,2,3,26,8,25,14
5,5,5,3,4,5,2,3,1,4,3,3,2,2,3,1,2,2,1,1,1,1,1,2,27,16,12,7
5,4,5,5,3,4,3,1,3,4,5,5,5,2,3,1,1,3,1,2,1,1,2,1,26,21,15,8
5,4,5,4,4,5,4,5,3,4,5,4,3,3,2,2,2,2,1,2,1,1,1,1,27,25,14,7
5,5,5,5,5,5,4,5,3,3,4,4,3,2,2,5,3,5,3,3,2,2,4,2,30,23,20,16
3,1,5,5,2,5,3,2,1,4,1,1,3,3,4,3,3,2,2,2,1,3,2,2,21,12,18,12
5,5,5,5,5,5,3,4,4,2,1,4,2,2,2,2,2,2,1,1,3,2,2,3,30,18,12,12
3,2,3,4,1,3,3,4,4,3,4,1,2,1,5,4,2,2,2,1,1,1,2,1,16,19,16,8
5,2,5,5,4,3,4,3,4,3,4,5,5,5,2,2,3,5,3,2,2,2,3,1,24,23,22,13
4,4,4,4,5,4,1,4,1,2,3,4,1,1,1,1,1,1,1,2,1,2,1,2,25,15,6,9
5,5,4,5,4,5,1,1,3,3,3,4,3,2,2,2,4,4,2,2,3,3,2,3,28,15,17,15
5,5,5,4,5,5,4,5,5,5,4,4,2,1,1,1,1,2,1,1,1,1,1,1,29,27,8,6
5,4,5,2,5,5,2,4,5,4,5,4,5,4,5,2,5,5,1,1,1,1,1,2,26,24,26,7
5,4,5,5,4,5,1,1,4,3,4,3,4,5,2,4,5,5,1,2,1,2,2,1,28,16,25,9
4,5,5,3,3,3,1,2,2,3,4,4,3,4,2,5,3,4,1,1,3,2,2,1,23,16,21,10
5,5,4,4,5,5,5,5,4,4,5,4,1,1,1,1,1,1,2,1,1,1,1,1,28,27,6,7
4,2,4,3,1,3,2,3,4,1,1,1,5,2,5,4,3,4,2,2,2,2,2,3,17,12,23,13
4,4,5,5,3,5,2,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,26,7,8,7
5,2,1,1,3,1,4,2,5,4,4,3,3,4,5,3,4,3,3,1,2,2,3,2,13,22,22,13
5,1,4,3,4,3,1,1,1,1,1,1,5,3,5,5,5,5,3,3,5,4,5,2,20,6,28,22
5,1,4,3,4,3,4,3,1,3,3,3,4,3,3,3,2,5,3,3,3,5,3,5,20,17,20,22
5,5,5,4,5,5,5,5,4,4,3,4,3,3,2,4,1,2,1,1,1,2,1,1,29,25,15,7
4,5,4,5,4,4,4,3,2,2,4,1,1,3,3,2,2,1,1,2,1,1,1,1,26,16,12,7
4,5,4,5,5,5,4,4,2,4,3,5,2,2,4,5,2,2,2,1,1,3,1,1,28,22,17,9
5,3,4,4,3,4,5,5,4,4,5,4,3,2,2,2,4,2,1,2,2,1,2,3,23,27,15,11
5,2,5,5,5,5,5,2,4,1,4,1,4,4,4,4,2,4,1,2,1,2,1,3,27,17,22,10
5,5,5,5,5,5,4,4,3,5,5,4,5,3,5,3,5,2,2,1,1,1,1,2,30,25,23,8
4,4,3,4,3,5,4,1,4,2,4,2,2,1,4,2,4,2,1,1,2,1,2,1,23,17,15,8
5,5,1,3,2,3,4,3,3,4,2,4,2,3,2,1,3,3,3,3,2,2,3,3,19,20,14,16
3,4,4,3,1,3,4,5,5,5,5,4,2,5,2,4,2,3,1,1,1,2,1,1,18,28,18,7
5,5,5,5,5,4,3,4,3,4,4,5,4,5,2,4,3,4,2,1,1,1,1,1,29,23,22,7
3,3,1,2,3,1,4,4,5,5,4,5,4,2,5,3,5,2,1,1,2,2,2,1,13,27,21,9
5,5,5,5,5,4,1,3,4,1,4,3,3,3,3,2,2,2,1,1,1,1,1,1,29,16,15,6
2,4,3,4,3,3,4,3,4,2,4,2,3,4,4,5,5,4,2,2,2,1,2,2,19,19,25,11
5,3,5,4,5,4,3,4,4,4,4,3,5,5,5,5,2,5,3,2,2,2,2,2,26,22,27,13
4,2,5,4,2,4,1,4,1,2,2,3,3,4,3,5,2,4,2,2,3,2,3,3,21,13,21,15
3,3,4,2,5,4,1,1,2,1,1,1,5,3,5,3,4,4,1,3,3,1,2,2,21,7,24,12
4,4,4,5,5,5,4,4,4,4,5,5,2,2,5,2,2,2,3,2,1,1,2,1,27,26,15,10
5,5,5,3,3,4,3,4,4,2,5,4,5,4,2,5,3,5,3,1,1,3,3,2,25,22,24,13
3,5,3,4,5,5,1,2,3,4,1,2,4,2,5,5,2,4,2,1,2,2,1,2,25,13,22,10
4,1,2,1,1,2,3,4,4,5,5,3,3,2,3,4,5,2,3,1,2,2,4,2,11,24,19,14
1,2,2,2,1,2,4,5,4,4,1,1,2,2,4,2,2,4,1,1,1,1,1,1,10,19,16,6
5,5,2,5,5,5,4,4,3,4,4,2,5,2,3,4,3,5,1,1,2,2,2,2,27,21,22,10
2,5,5,4,3,4,5,5,4,4,3,5,2,3,2,5,2,2,2,2,2,1,3,1,23,26,16,11
4,3,4,5,5,5,4,5,5,5,4,5,4,3,3,5,3,3,1,1,3,2,2,2,26,28,21,11
5,5,5,3,5,5,5,5,5,4,5,3,3,1,2,2,2,2,1,1,1,2,1,2,28,27,12,8
2,3,2,1,2,4,3,2,1,3,2,1,2,3,2,2,2,3,1,1,1,1,1,1,14,12,14,6
4,4,5,3,4,5,2,2,1,2,3,1,3,2,4,1,2,1,1,1,1,1,1,1,25,11,13,6
5,4,5,5,4,5,5,5,5,4,4,5,2,1,2,1,2,1,1,2,2,2,3,1,28,28,9,11
1,4,3,4,4,5,2,1,1,3,2,1,3,2,5,2,2,3,1,2,2,1,3,1,21,10,17,10
5,4,5,5,5,5,5,5,4,4,4,4,2,2,2,4,3,2,3,2,3,2,3,3,29,26,15,16
4,5,4,5,4,4,5,4,4,5,5,5,1,1,2,3,1,2,1,2,1,1,1,1,26,28,10,7
4,1,3,4,2,5,1,2,1,4,1,3,3,2,2,2,2,3,2,1,1,3,2,2,19,12,14,11
4,5,5,5,5,5,3,4,2,4,5,4,1,1,2,3,1,2,2,2,1,1,2,1,29,22,10,9
5,5,5,5,5,5,4,5,5,5,5,5,2,2,4,5,2,5,1,1,1,1,1,1,30,29,20,6
5,4,4,4,5,5,2,1,5,1,4,4,5,2,3,3,3,4,3,3,3,3,2,3,27,17,20,17
4,2,3,2,4,4,3,4,4,3,2,3,5,3,5,2,1,2,1,1,1,3,1,1,19,19,18,8
2,3,5,4,5,3,3,2,4,3,3,3,1,2,1,5,2,2,1,2,2,1,1,3,22,18,13,10
4,4,2,3,4,4,1,1,1,1,1,1,3,2,2,3,2,1,1,1,1,1,1,1,21,6,13,6
5,4,5,5,4,4,5,5,4,4,5,5,5,5,5,4,5,5,1,2,3,3,1,1,27,28,29,11
5,5,4,5,4,5,4,4,4,4,4,4,2,2,3,3,3,2,1,1,1,1,1,1,28,24,15,6
5,4,4,4,4,4,4,3,1,3,5,4,2,2,1,2,2,2,1,1,1,1,1,1,25,20,11,6
5,4,4,2,2,3,5,2,5,4,5,5,2,1,1,1,4,4,1,2,1,1,1,1,20,26,13,7
3,3,5,4,3,3,4,2,5,2,4,4,2,2,2,2,2,2,1,1,1,1,1,2,21,21,12,7
4,3,3,3,2,2,4,3,3,3,4,4,5,5,3,3,4,5,2,1,3,2,3,3,17,21,25,14
4,5,5,5,4,5,4,4,4,4,4,4,4,4,3,2,2,3,1,1,1,1,1,2,28,24,18,7
4,1,4,3,2,4,2,3,2,1,4,1,3,5,5,5,5,1,2,2,2,2,3,1,18,13,24,12
4,5,4,5,5,3,3,4,2,3,5,4,5,3,5,2,4,5,1,1,2,2,2,1,26,21,24,9
4,3,4,3,1,4,5,1,2,1,2,4,2,2,2,2,2,2,1,1,2,1,1,1,19,15,12,7
5,5,4,5,4,4,4,5,4,5,5,4,2,2,2,2,2,2,2,1,1,1,1,2,27,27,12,8
2,4,3,5,4,5,4,3,4,3,3,5,1,3,2,2,2,1,1,1,1,2,2,1,23,22,11,8
5,4,4,5,5,5,3,4,5,4,3,2,2,2,1,2,2,2,1,2,2,1,3,1,28,21,11,10
4,5,2,5,5,5,1,4,3,4,4,4,2,1,2,2,3,2,1,1,1,1,1,2,26,20,12,7
5,3,5,5,5,4,1,4,5,2,5,3,3,2,2,3,2,1,1,1,1,1,2,1,27,20,13,7
4,2,2,4,1,3,4,5,4,4,3,5,1,2,4,1,2,1,1,2,2,1,1,1,16,25,11,8
5,5,5,4,5,5,3,3,4,5,5,3,1,3,3,4,3,2,1,1,1,2,1,1,29,23,16,7
5,4,4,5,5,5,3,2,4,3,5,4,5,5,5,2,3,4,1,1,1,1,1,1,28,21,24,6
4,5,4,3,5,2,4,3,4,3,4,4,3,5,3,2,3,4,2,2,2,2,1,1,23,22,20,10
5,4,5,5,5,4,5,5,5,5,5,5,4,2,2,3,3,2,2,3,4,2,5,2,28,30,16,18
4,3,5,5,1,3,4,4,5,4,4,3,2,2,3,2,2,1,1,2,2,2,1,1,21,24,12,9
5,5,5,5,5,3,3,5,4,5,4,5,2,5,3,2,2,3,1,2,1,3,2,3,28,26,17,12
5,4,4,4,4,4,2,1,3,3,3,2,3,3,2,3,4,5,1,1,1,1,1,1,25,14,20,6
3,1,4,1,3,3,4,3,4,4,4,5,3,5,2,4,2,3,2,2,2,2,2,1,15,24,19,11
5,4,5,5,4,4,3,2,3,4,2,4,2,5,4,2,2,2,3,2,3,3,2,2,27,18,17,15
2,3,3,4,3,3,3,1,5,2,2,5,4,5,3,2,1,3,2,1,1,2,2,2,18,18,18,10
4,2,4,2,3,5,5,5,5,5,4,4,2,3,2,4,3,3,1,1,2,1,1,1,20,28,17,7
4,4,5,4,5,5,3,1,3,4,3,3,2,5,2,2,2,4,2,1,1,1,1,2,27,17,17,8
4,3,3,4,5,5,3,5,1,4,4,1,2,5,2,1,1,3,2,1,1,2,1,1,24,18,14,8
4,5,5,5,5,5,2,4,1,1,1,3,2,4,4,4,5,4,1,2,1,2,2,1,29,12,23,9
5,5,5,5,5,5,2,5,4,3,4,4,1,3,4,2,2,2,1,2,2,1,1,2,30,22,14,9
3,3,5,3,4,5,4,4,5,4,4,5,3,2,3,2,2,2,2,2,2,2,3,3,23,26,14,14
1,1,3,3,1,4,4,2,3,4,3,4,3,3,3,2,5,4,2,2,1,1,1,2,13,20,20,9
4,5,5,4,5,5,4,1,1,3,3,1,2,2,2,2,2,2,1,2,3,3,3,1,28,13,12,13
5,5,4,5,5,4,2,4,4,4,2,4,1,2,2,1,2,2,1,2,1,2,1,2,28,20,10,9
5,2,4,5,4,5,5,5,5,5,5,5,1,1,1,1,1,1,2,1,1,2,1,1,25,30,6,8
2,3,4,5,4,4,4,4,2,2,1,2,5,2,3,4,5,4,2,3,1,2,3,2,22,15,23,13
2,2,1,3,3,3,4,5,4,4,3,4,3,4,5,5,4,3,2,1,2,2,2,2,14,24,24,11
3,5,5,4,4,5,4,5,5,5,5,3,2,2,2,2,2,4,1,2,1,1,2,1,26,27,14,8
3,2,3,3,2,5,4,1,2,3,4,2,3,5,3,5,5,5,3,5,3,2,2,3,18,16,26,18
2,4,2,4,1,1,4,4,4,2,3,5,2,3,2,1,1,2,2,1,1,2,2,1,14,22,11,9
1,2,3,4,3,3,2,1,1,3,1,1,3,5,2,2,4,3,2,2,1,3,1,2,16,9,19,11
4,5,5,5,4,4,1,4,3,1,1,1,5,5,5,4,4,5,2,2,1,2,1,2,27,11,28,10
2,5,3,4,4,5,2,1,1,3,3,2,5,4,5,3,2,4,2,3,3,3,3,3,23,12,23,17
5,5,5,5,5,5,5,3,4,5,4,4,2,4,2,1,4,2,1,1,2,1,1,1,30,25,15,7
4,4,4,4,3,4,2,4,3,4,3,3,4,3,5,3,3,5,2,3,3,3,2,3,23,19,23,16
2,5,3,4,3,5,4,4,5,4,3,3,2,5,3,3,5,2,2,2,2,2,2,3,22,23,20,13
5,3,5,5,5,5,3,5,5,5,4,4,4,2,4,4,3,3,1,2,1,1,1,1,28,26,20,7
5,4,4,4,4,5,1,3,1,3,1,1,3,2,2,2,3,3,3,2,3,3,2,3,26,10,15,16
5,5,4,5,5,5,4,4,3,4,4,4,2,2,2,3,2,3,2,1,1,1,1,2,29,23,14,8
5,5,5,4,5,4,5,4,4,5,4,3,1,2,3,2,2,2,1,1,1,1,1,1,28,25,12,6
1,1,2,2,2,1,4,5,5,4,5,3,4,3,3,5,5,5,1,3,3,3,5,3,9,26,25,18
1,1,1,1,1,2,1,2,1,3,1,3,5,1,2,4,4,4,3,2,1,1,2,3,7,11,20,12
3,4,3,4,3,3,4,4,4,3,2,5,5,4,2,5,5,5,2,2,1,2,1,2,20,22,26,10
4,3,4,3,4,4,1,2,4,4,3,4,5,5,2,4,1,3,2,2,3,3,2,2,22,18,20,14
4,2,5,4,4,4,3,1,1,1,1,1,4,3,5,5,4,5,3,2,3,3,4,2,23,8,26,17
5,5,5,5,5,5,5,5,5,5,4,3,5,2,3,4,4,3,1,1,1,1,1,1,30,27,21,6
4,4,5,3,3,4,1,4,3,2,2,1,3,3,3,5,4,2,1,3,1,1,3,2,23,13,20,11
5,5,4,5,5,5,4,4,4,4,4,5,3,1,3,5,3,3,1,1,1,1,1,1,29,25,18,6
4,4,3,1,4,5,2,3,3,4,4,4,5,5,5,3,5,2,2,1,1,3,2,1,21,20,25,10
1,1,2,1,4,2,4,2,2,3,4,4,2,2,1,4,2,4,1,1,1,1,1,1,11,19,15,6
1,4,5,2,3,3,4,5,5,3,4,4,1,1,1,1,1,1,1,1,1,1,1,1,18,25,6,6
5,5,3,2,5,4,5,4,4,4,2,4,5,2,4,4,4,5,2,3,2,2,2,1,24,23,24,12
2,4,1,3,2,1,4,5,4,3,4,1,1,1,2,1,2,1,1,1,1,1,1,1,13,21,8,6
4,4,4,5,4,5,4,2,4,5,4,3,2,3,2,2,3,3,1,1,1,1,1,1,26,22,15,6
4,3,3,4,1,4,4,2,1,3,3,4,2,1,3,2,2,1,1,1,3,3,3,1,19,17,11,12
4,4,4,3,4,4,1,1,2,1,2,3,2,4,4,1,2,2,3,4,2,2,3,3,23,10,15,17
5,5,5,5,4,4,4,3,1,2,3,1,4,5,5,3,4,5,2,1,1,1,2,1,28,14,26,8
1,2,1,1,2,3,5,4,5,4,5,5,2,2,2,2,2,2,3,1,2,1,1,1,10,28,12,9
5,5,5,5,5,5,2,5,3,2,3,3,5,3,4,3,2,5,1,1,1,1,2,1,30,18,22,7
4,5,2,4,1,1,4,5,5,5,4,5,5,5,3,2,2,5,1,1,2,2,1,1,17,28,22,8
5,5,5,4,5,4,2,3,4,1,1,2,2,1,1,1,3,1,1,1,1,2,1,2,28,13,9,8
4,3,4,4,5,5,4,4,4,4,4,4,3,2,2,1,4,2,1,1,1,3,2,2,25,24,14,10
2,4,3,2,3,5,3,4,4,5,2,2,3,2,2,2,4,1,2,1,1,1,1,2,19,20,14,8
4,5,4,5,4,5,3,4,3,5,4,2,2,1,2,1,2,1,1,2,2,1,1,1,27,21,9,8
4,4,5,5,5,5,4,5,4,4,4,4,4,3,3,4,2,4,2,1,1,3,1,3,28,25,20,11
5,5,5,5,5,4,3,4,3,2,4,3,2,2,1,2,5,1,2,2,1,1,2,1,29,19,13,9
2,3,4,4,2,1,2,3,4,1,1,1,3,5,5,5,5,5,5,3,5,5,5,5,16,12,28,28
1,4,5,2,1,1,4,1,4,2,3,4,2,4,1,1,2,2,2,1,2,3,2,2,14,18,12,12
2,4,1,5,4,4,2,1,1,1,1,1,3,4,2,5,5,2,3,1,3,1,2,3,20,7,21,13
5,1,4,5,4,2,4,3,1,2,4,1,5,5,5,5,5,5,1,2,1,1,1,1,21,15,30,7
4,4,4,4,5,4,4,3,4,3,4,4,2,2,1,2,4,4,2,2,2,1,1,1,25,22,15,9
3,4,2,4,3,4,4,2,2,3,3,1,5,5,3,5,5,2,2,2,1,1,1,2,20,15,25,9
4,3,5,4,4,2,4,3,3,4,3,2,5,5,5,5,5,5,3,3,4,2,3,3,22,19,30,18
3,5,3,3,4,4,3,4,2,4,5,4,1,2,1,2,2,2,1,1,1,1,1,1,22,22,10,6
2,1,3,3,2,4,1,1,1,2,4,3,3,3,4,3,3,3,2,1,1,2,1,1,15,12,19,8
5,5,5,5,5,5,4,4,3,3,4,4,3,4,2,1,1,2,2,1,1,2,1,1,30,22,13,8
4,5,5,3,3,5,4,1,2,4,4,3,2,2,3,5,3,3,2,1,1,1,1,2,25,18,18,8
5,4,4,3,4,4,4,4,3,5,4,4,2,3,4,2,2,2,1,2,2,1,1,2,24,24,15,9
5,4,4,5,4,4,3,3,3,3,3,1,1,1,1,1,2,3,2,1,1,1,2,1,26,16,9,8
5,5,4,4,4,3,1,4,2,2,3,1,1,1,2,1,1,2,1,2,1,1,1,1,25,13,8,7
2,2,3,4,4,4,1,2,1,1,3,2,1,2,2,2,2,2,2,2,3,1,3,2,19,10,11,13
5,5,5,5,5,5,2,1,2,4,5,3,2,1,2,1,2,2,2,2,1,1,2,1,30,17,10,9
4,5,4,4,4,5,2,4,5,4,4,4,1,2,2,1,1,2,1,1,1,1,1,1,26,23,9,6
5,4,4,5,4,5,1,3,3,5,3,3,3,5,5,5,3,5,2,2,3,1,2,1,27,18,26,11
4,5,5,5,5,5,4,5,3,4,4,3,2,3,2,3,3,2,3,2,2,1,2,1,29,23,15,11
5,5,5,2,5,5,4,5,5,5,4,4,3,5,2,4,4,2,1,3,2,2,2,2,27,27,20,12
5,3,3,4,4,5,1,2,5,1,1,3,1,3,1,2,2,1,1,1,2,2,2,2,24,13,10,10
4,5,5,5,5,4,4,3,1,2,1,4,5,2,2,2,2,1,2,3,1,1,1,2,28,15,14,10
3,4,3,4,4,5,4,3,4,3,2,3,2,4,3,5,2,5,3,2,2,3,2,2,23,19,21,14
5,5,3,5,5,5,4,5,4,4,4,4,3,4,5,2,4,5,1,2,2,1,1,2,28,25,23,9
3,3,4,1,4,4,2,3,4,2,1,1,2,3,2,2,1,2,1,1,1,1,1,1,19,13,12,6
4,5,4,5,3,4,1,2,1,2,3,4,5,5,5,2,5,3,2,3,3,2,3,2,25,13,25,15
5,4,5,3,3,4,2,2,1,3,1,4,3,2,3,4,2,2,2,1,1,1,1,1,24,13,16,7
4,3,5,4,5,4,4,4,4,5,2,5,5,3,4,5,5,3,3,3,4,3,3,4,25,24,25,20
4,4,3,5,3,2,2,3,3,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,21,19,6,6
4,4,1,5,4,4,5,4,5,5,5,4,2,2,4,2,1,2,1,2,1,1,2,1,22,28,13,8
5,5,4,4,4,4,2,1,2,1,2,2,4,2,2,4,4,1,1,1,1,1,1,2,26,10,17,7
5,5,5,5,5,5,4,4,2,3,3,1,5,2,2,5,3,5,1,2,1,1,1,2,30,17,22,8
1,3,1,1,1,2,3,1,3,2,1,1,4,3,2,1,3,3,4,3,3,2,2,3,9,11,16,17
2,5,4,4,4,4,2,3,4,5,3,4,4,3,5,5,3,2,3,2,1,2,2,2,23,21,22,12
4,3,3,3,4,5,4,4,5,2,2,1,2,2,4,1,2,2,1,1,2,1,2,2,22,18,13,9
3,5,3,5,4,5,3,4,4,2,4,4,2,2,4,5,5,4,1,1,1,1,1,1,25,21,22,6
4,5,4,5,5,4,2,1,3,4,3,1,4,2,2,2,2,1,3,3,1,1,2,2,27,14,13,12
1,2,4,3,3,4,1,4,3,2,3,3,1,2,1,1,1,1,1,1,1,1,1,1,17,16,7,6
5,5,3,3,5,5,4,4,5,5,4,4,1,1,2,3,1,2,2,2,1,2,1,2,26,26,10,10
1,2,3,3,4,4,2,4,3,3,3,4,1,2,2,2,2,2,2,1,2,2,3,1,17,19,11,11
5,5,5,5,5,5,4,3,5,4,4,3,2,2,1,1,1,1,1,1,1,1,1,1,30,23,8,6
5,5,5,5,5,5,4,4,4,4,3,3,2,2,2,3,3,2,2,2,1,1,2,1,30,22,14,9
5,5,5,5,4,5,4,2,4,4,5,5,1,2,3,1,2,1,1,1,2,1,1,1,29,24,10,7
4,4,3,1,3,4,4,4,4,4,4,5,3,2,2,2,4,2,2,1,2,2,1,2,19,25,15,10
2,3,3,2,4,3,5,1,1,3,4,5,5,4,4,2,2,2,1,2,3,2,2,2,17,19,19,12
5,5,5,5,5,5,4,3,4,5,5,4,2,2,4,1,4,4,1,2,1,2,1,2,30,25,17,9
5,5,4,3,5,5,5,4,4,5,5,4,2,2,2,3,2,3,2,2,2,1,2,3,27,27,14,12
5,5,4,4,4,4,4,5,4,4,3,4,1,1,1,1,2,1,1,1,1,1,1,1,26,24,7,6
5,2,1,3,4,4,3,2,3,4,3,4,2,2,2,1,3,1,1,1,1,1,1,1,19,19,11,6
3,4,4,3,4,5,3,5,2,2,3,4,2,2,4,2,3,4,1,1,1,1,1,1,23,19,17,6
5,5,2,5,4,5,2,3,4,4,4,2,2,2,3,1,1,1,1,1,1,1,1,1,26,19,10,6
4,5,4,4,5,4,2,4,5,3,3,4,4,2,5,2,4,3,1,1,1,1,1,1,26,21,20,6
5,4,5,4,5,4,4,4,3,5,4,4,3,5,3,4,4,4,1,2,2,2,1,1,27,24,23,9
5,5,3,5,5,5,1,4,1,1,1,1,2,1,2,2,2,1,1,2,1,1,1,1,28,9,10,7
4,5,4,4,5,5,1,2,4,2,3,3,5,3,4,5,4,4,3,5,2,5,3,2,27,15,25,20
5,5,5,5,5,4,5,3,4,3,2,4,2,2,2,1,2,1,1,1,2,1,1,1,29,21,10,7
2,2,3,1,2,5,4,4,4,3,4,4,2,3,3,1,3,4,1,2,3,1,1,2,15,23,16,10
1,1,4,3,4,2,4,5,4,4,4,5,5,3,5,5,4,5,3,1,2,2,4,2,15,26,27,14
4,2,3,3,3,2,3,4,5,5,4,4,5,5,5,5,4,5,3,3,2,3,2,2,17,25,29,15
5,5,5,5,5,5,2,4,4,4,4,4,4,3,3,3,2,2,1,2,1,1,1,2,30,22,17,8
3,4,3,3,4,3,5,5,4,5,4,4,2,2,1,1,1,2,2,1,2,1,1,2,20,27,9,9
4,1,1,1,5,4,3,4,1,1,2,2,4,2,4,5,3,5,1,2,1,1,1,2,16,13,23,8
5,5,4,5,5,5,4,1,3,2,3,4,2,2,2,2,5,1,2,1,1,1,1,2,29,17,14,8
5,3,5,5,5,5,2,2,4,1,1,3,2,3,3,1,1,4,1,1,1,1,1,1,28,13,14,6
3,1,5,5,5,1,1,1,1,1,1,1,4,3,5,5,3,3,1,2,1,1,4,1,20,6,23,10
4,4,3,3,4,3,4,4,5,4,3,4,2,3,3,2,5,2,3,3,3,2,1,2,21,24,17,14
5,4,4,2,5,5,4,1,5,4,2,4,5,5,4,5,5,3,3,2,2,1,2,1,25,20,27,11
4,2,4,5,4,5,3,4,4,4,3,4,1,2,2,2,1,2,1,2,1,1,1,1,24,22,10,7
3,2,3,3,1,1,2,1,2,2,2,2,2,1,2,1,1,1,1,2,2,1,1,1,13,11,8,8
5,5,5,4,4,4,4,4,4,5,3,2,4,3,5,5,5,5,4,3,2,3,5,3,27,22,27,20
5,3,4,2,5,5,2,2,4,1,1,3,1,1,2,1,3,1,2,1,1,1,1,1,24,13,9,7
2,4,4,5,4,3,3,1,5,3,5,1,2,1,1,2,1,1,1,1,1,2,1,1,22,18,8,7
3,2,2,5,3,3,1,3,3,3,1,4,5,3,2,4,3,3,2,2,2,3,2,1,18,15,20,12
5,3,5,3,3,3,4,4,2,2,3,1,3,2,1,3,2,1,1,1,1,1,1,2,22,16,12,7
4,5,4,4,5,4,4,1,2,1,2,1,4,2,2,4,5,5,3,3,5,2,2,2,26,11,22,17
2,2,1,4,2,3,4,3,1,2,2,1,3,3,2,2,4,2,3,2,2,3,3,2,14,13,16,15
4,4,5,4,3,3,4,3,2,2,4,3,3,3,2,3,3,4,1,1,1,1,1,1,23,18,18,6
1,2,1,1,3,1,4,2,4,5,3,4,1,2,2,2,2,2,1,2,2,2,3,1,9,22,11,11
2,3,1,3,2,1,2,1,2,1,3,1,2,4,2,2,2,1,2,2,2,3,2,3,12,10,13,14
4,5,5,4,5,5,5,4,5,4,4,4,3,2,2,4,2,2,1,1,2,1,2,1,28,26,15,8
